family;domain;pred;prob_dga;detected
gen2k26ver1;cherokee-whatever-player.net;1;0.999979;True
gen2k26ver1;agant-wishing-shots.com;1;0.999983;True
gen2k26ver1;issn-cavendi-midwest.ai;1;0.999976;True
gen2k26ver1;rainbow-four-magistro.net;1;0.998352;True
gen2k26ver1;zshops-mentem-using.inter;1;0.999984;True
gen2k26ver1;mystery-wave-podcasts.ai;0;0.032590;False
gen2k26ver1;stamp-deal-somewhat.ai;1;0.999984;True
gen2k26ver1;wind-though-hobbies.ai;1;0.999984;True
gen2k26ver1;plains-fotos-interact.inter;1;0.999949;True
gen2k26ver1;fitted-mystery-tribes.inter;1;0.999983;True
gen2k26ver1;groove-fallen-complex.com;1;0.999983;True
gen2k26ver1;layout-volvo-airport.inter;1;0.999975;True
gen2k26ver1;highs-rehab-gasoline.ai;1;0.999983;True
gen2k26ver1;business-grain-lyric.inter;1;0.999983;True
gen2k26ver1;univ-headers-gratis.ai;0;0.378689;False
gen2k26ver1;handed-feet-ness.inter;1;0.999984;True
gen2k26ver1;hats-touched-dose.net;1;0.999984;True
gen2k26ver1;cottages-dietary-erectam.net;1;0.999984;True
gen2k26ver1;broad-costa-designed.org;1;0.999976;True
gen2k26ver1;loop-remember-wires.com;1;0.999984;True
gen2k26ver1;regard-handbook-truck.com;1;0.999976;True
gen2k26ver1;five-package-boat.net;1;0.999974;True
gen2k26ver1;wanna-evaluate-retained.inter;1;0.999983;True
gen2k26ver1;joel-hometown-studeant.inter;1;0.999980;True
gen2k26ver1;smoke-tale-beyond.org;1;0.999984;True
gen2k26ver1;geneva-centies-evident.org;1;0.999971;True
gen2k26ver1;issn-surface-waste.ai;1;0.999983;True
gen2k26ver1;tracy-apple-equity.ai;1;0.999983;True
gen2k26ver1;funky-tent-trauma.org;1;0.999980;True
gen2k26ver1;adopted-serve-recorder.net;1;0.999983;True
gen2k26ver1;ship-rice-gray.org;1;0.999983;True
gen2k26ver1;lyrics-sally-coupon.net;1;0.999959;True
gen2k26ver1;museum-owen-winston.org;0;0.000234;False
gen2k26ver1;green-topic-greene.net;1;0.999982;True
gen2k26ver1;tissue-turns-impress.net;1;0.999984;True
gen2k26ver1;playlist-nfoulilp-harmonie.org;1;0.999967;True
gen2k26ver1;even-daddy-remissio.org;1;0.999962;True
gen2k26ver1;phantom-highway-anxiety.ai;1;0.999977;True
gen2k26ver1;animas-deer-wants.com;1;0.993612;True
gen2k26ver1;energy-history-overhead.ai;1;0.999982;True
gen2k26ver1;spas-former-standard.net;1;0.999969;True
gen2k26ver1;grid-invite-publicly.ai;1;0.999984;True
gen2k26ver1;tray-mill-fruit.org;1;0.999983;True
gen2k26ver1;elegant-keep-destroy.ai;1;0.999983;True
gen2k26ver1;referral-fitness-hottest.net;0;0.006693;False
gen2k26ver1;weiler-whats-organize.ai;1;0.999971;True
gen2k26ver1;dolls-north-projects.net;1;0.999980;True
gen2k26ver1;void-melior-daily.org;1;0.999829;True
gen2k26ver1;russian-milan-within.ai;1;0.999976;True
gen2k26ver1;disclose-handled-both.org;1;0.999982;True
gen2k26ver1;oakland-luther-launches.org;1;0.999982;True
gen2k26ver1;polo-carry-nudity.inter;1;0.999984;True
gen2k26ver1;covered-weighted-spread.ai;1;0.999984;True
gen2k26ver1;mitchell-nike-observed.net;1;0.999982;True
gen2k26ver1;meant-cheyanne-omnes.org;1;0.999969;True
gen2k26ver1;direct-motorola-casus.ai;1;0.999964;True
gen2k26ver1;dutch-fruits-observed.ai;1;0.999984;True
gen2k26ver1;likr-thee-dicitur.org;1;0.999983;True
gen2k26ver1;tions-nude-vicario.org;1;0.999945;True
gen2k26ver1;wrist-needle-emotion.net;1;0.999984;True
gen2k26ver1;mount-glen-evans.org;1;0.999880;True
gen2k26ver1;orlando-strategy-wake.org;1;0.999977;True
gen2k26ver1;party-rating-symbol.ai;1;0.999982;True
gen2k26ver1;stupid-seeker-filename.inter;1;0.999983;True
gen2k26ver1;consult-fairly-liberior.net;1;0.999984;True
gen2k26ver1;partner-fisting-idaho.net;1;0.999982;True
gen2k26ver1;powerful-kurt-failure.net;1;0.999983;True
gen2k26ver1;express-hampton-quest.net;1;0.999978;True
gen2k26ver1;gmbh-package-gerald.net;1;0.999982;True
gen2k26ver1;centum-fulminat-mass.ai;1;0.999940;True
gen2k26ver1;katheryn-libera-ranges.com;1;0.999982;True
gen2k26ver1;depot-toll-inde.ai;1;0.999839;True
gen2k26ver1;roster-tasks-sure.inter;1;0.999983;True
gen2k26ver1;records-corner-monitor.ai;1;0.999984;True
gen2k26ver1;monsters-pipe-virorum.net;1;0.999983;True
gen2k26ver1;mild-slim-gamecube.ai;1;0.999983;True
gen2k26ver1;tamil-prisoner-scan.org;1;0.997783;True
gen2k26ver1;genius-voip-animas.ai;0;0.000040;False
gen2k26ver1;guns-qualify-istum.inter;1;0.999984;True
gen2k26ver1;abroad-plumbing-equale.com;1;0.999967;True
gen2k26ver1;operibus-sims-weights.com;1;0.999894;True
gen2k26ver1;million-tons-hammer.net;1;0.999976;True
gen2k26ver1;failures-iana-reducing.net;1;0.999982;True
gen2k26ver1;illas-displays-interact.ai;1;0.999982;True
gen2k26ver1;fixtures-lasting-upgrade.inter;1;0.999983;True
gen2k26ver1;species-hardwood-quanto.inter;1;0.999982;True
gen2k26ver1;mayor-reliance-overseas.com;0;0.050894;False
gen2k26ver1;reddent-piano-urge.org;1;0.999980;True
gen2k26ver1;jokes-sheer-iowa.ai;1;0.999984;True
gen2k26ver1;missouri-valeant-harry.com;1;0.997488;True
gen2k26ver1;machine-premium-means.com;1;0.999983;True
gen2k26ver1;came-edges-zone.ai;1;0.999984;True
gen2k26ver1;rainbow-kodak-gender.com;0;0.400984;False
gen2k26ver1;size-panic-toilet.com;1;0.999983;True
gen2k26ver1;redhead-aside-pillow.com;1;0.999984;True
gen2k26ver1;suits-sandy-salon.ai;1;0.999984;True
gen2k26ver1;sheenagh-relating-lone.ai;1;0.999983;True
gen2k26ver1;turned-pleased-edmonton.inter;1;0.999984;True
gen2k26ver1;lebanon-thong-even.net;1;0.999983;True
gen2k26ver1;delhi-about-formed.net;1;0.995318;True
gen2k26ver1;posset-everyone-towel.org;1;0.999978;True
gen2k26ver1;vintage-illas-easily.net;1;0.999980;True
gen2k26ver1;vector-listen-involve.net;1;0.999984;True
gen2k26ver1;lycos-geneva-crucial.com;0;0.345989;False
gen2k26ver1;fusion-harold-signing.inter;1;0.999984;True
gen2k26ver1;scanner-speeches-wright.inter;1;0.999984;True
gen2k26ver1;webpage-glenn-states.com;1;0.993512;True
gen2k26ver1;olympic-modes-affero.com;1;0.993512;True
gen2k26ver1;setup-obtained-metro.org;1;0.999984;True
gen2k26ver1;skiing-scoring-seen.org;1;0.999972;True
gen2k26ver1;reader-fires-strong.com;1;0.999980;True
gen2k26ver1;diana-shepherd-meets.net;1;0.999970;True
gen2k26ver1;familiar-missile-mapping.org;1;0.995866;True
gen2k26ver1;walt-merging-organic.com;1;0.999983;True
gen2k26ver1;herself-quality-talem.org;1;0.999977;True
gen2k26ver1;tatyanna-sine-porter.org;1;0.995993;True
gen2k26ver1;increase-olympus-threat.net;1;0.999983;True
gen2k26ver1;protect-sarah-surfaces.org;1;0.995462;True
gen2k26ver1;facility-linking-varying.inter;1;0.999982;True
gen2k26ver1;slovenia-queens-imply.org;1;0.999982;True
gen2k26ver1;rfcs-priced-files.ai;1;0.999984;True
gen2k26ver1;idol-gotten-alleging.inter;1;0.999983;True
gen2k26ver1;still-password-brown.inter;1;0.999984;True
gen2k26ver1;corners-abundent-rankings.net;1;0.999983;True
gen2k26ver1;murray-karl-silver.inter;1;0.998352;True
gen2k26ver1;hope-trace-endless.org;1;0.999983;True
gen2k26ver1;summam-ceteris-till.org;1;0.999534;True
gen2k26ver1;tattoo-daisy-routines.com;1;0.999974;True
gen2k26ver1;info-trying-simpson.ai;1;0.999983;True
gen2k26ver1;securely-noted-sites.inter;1;0.999984;True
gen2k26ver1;studio-cookbook-font.net;1;0.995930;True
gen2k26ver1;pause-specs-leader.net;1;0.999983;True
gen2k26ver1;pension-google-targets.com;0;0.000038;False
gen2k26ver1;weight-prorsus-packing.net;1;0.999972;True
gen2k26ver1;ruby-cloud-reaching.org;1;0.999983;True
gen2k26ver1;girl-five-salaries.inter;1;0.999979;True
gen2k26ver1;spanking-creates-delay.com;1;0.999984;True
gen2k26ver1;fund-smallest-decretis.ai;1;0.999982;True
gen2k26ver1;each-munich-provided.net;1;0.999983;True
gen2k26ver1;gratias-hurry-ranking.ai;1;0.999982;True
gen2k26ver1;easy-planes-merger.com;1;0.991153;True
gen2k26ver1;mill-dakota-kevin.ai;1;0.999979;True
gen2k26ver1;couples-verbis-crack.net;1;0.999959;True
